ref,piece,max,min,geo_point_2d,surface,price_per_m2
25.2,2,30.24,17.64,"48.82665262554388, 2.3264369992249008",20.0,37.8
24.6,3,29.52,17.22,"48.87124465089237, 2.3615036473450113",30.0,24.6
25.5,2,30.6,17.85,"48.894012169582226, 2.3643867790293243",20.0,38.25
21.8,4,26.16,15.26,"48.89213818760241, 2.355536163296278",40.0,16.35
36.6,1,43.92,25.62,"48.85526326937375, 2.3255876525808024",10.0,109.80000000000001
26.4,2,31.68,18.48,"48.8490447659431, 2.3457466001872485",20.0,39.599999999999994
34.7,4,41.64,24.29,"48.85526326937375, 2.3255876525808024",40.0,26.025000000000002
31.8,1,38.16,22.26,"48.83373367612219, 2.3476730460658106",10.0,95.4
25.8,3,30.96,18.06,"48.850622342726865, 2.252276907538065",30.0,25.8
21.8,4,26.16,15.26,"48.86740319007272, 2.3729648249267643",40.0,16.35
25.2,2,30.24,17.64,"48.86234502354463, 2.376118055918989",20.0,37.8
23.9,2,28.68,16.73,"48.86371948395739, 2.395272820760115",20.0,35.849999999999994
32.4,4,38.88,22.68,"48.84642759400415, 2.327356878234607",40.0,24.299999999999997
32.9,1,39.48,23.03,"48.87354738020911, 2.332268868869704",10.0,98.7
28.7,4,34.4,20.1,"48.871765634282355, 2.2719177404675657",40.0,21.525000000000002
26.0,3,31.2,18.2,"48.868008337402706, 2.3446991274274604",30.0,26.0
27.6,2,33.1,19.3,"48.84766363545046, 2.354093153377686",20.0,41.400000000000006
31.7,2,38.0,22.2,"48.86327454383974, 2.259935831704838",20.0,47.55
29.0,2,34.8,20.3,"48.83906040108164, 2.2780763469189345",20.0,43.5
21.1,4,25.3,14.8,"48.835209049865114, 2.3862100842120184",40.0,15.825000000000003
29.3,3,35.2,20.5,"48.84168428795317, 2.3438609263160095",30.0,29.3
27.1,3,32.5,19.0,"48.87354738020911, 2.332268868869704",30.0,27.1
35.5,1,42.6,24.9,"48.86228910809422, 2.3448988583110166",10.0,106.5
21.0,4,25.2,14.7,"48.87103473909125, 2.406171530151038",40.0,15.75
28.0,4,33.6,19.6,"48.850171655497846, 2.291852642697574",40.0,21.0
22.6,4,27.1,15.8,"48.876008290020586, 2.36812301788768",40.0,16.950000000000003
29.8,1,35.8,20.9,"48.83740588522813, 2.3633186351497177",10.0,89.4
33.7,1,40.4,23.6,"48.84766363545046, 2.354093153377686",10.0,101.10000000000001
26.0,4,31.2,18.2,"48.85706404083103, 2.380364061726767",40.0,19.5
22.9,4,27.5,16.0,"48.86371948395739, 2.395272820760115",40.0,17.175
30.1,4,36.1,21.1,"48.851585175021285, 2.3647679538731117",40.0,22.575000000000003
33.5,1,40.2,23.4,"48.850622342726865, 2.252276907538065",10.0,100.5
25.1,4,30.1,17.6,"48.88073523727109, 2.35747081044636",40.0,18.825000000000003
30.2,2,36.2,21.1,"48.87993433878255, 2.3328501965554715",20.0,45.3
25.8,4,31.0,18.1,"48.84194019337512, 2.356893889624744",40.0,19.35
25.9,3,31.1,18.1,"48.85852137232379, 2.3516669671389687",30.0,25.9
29.2,1,35.0,20.4,"48.89213818760241, 2.355536163296278",10.0,87.6
31.1,1,37.3,21.8,"48.854760283035255, 2.407430328235969",10.0,93.30000000000001
39.4,1,47.3,27.6,"48.85035926154756, 2.3110309362657557",10.0,118.2
30.1,2,36.1,21.1,"48.82312780567426, 2.352433149542824",20.0,45.150000000000006
30.1,4,36.1,21.1,"48.867074492185395, 2.3086516846814",40.0,22.575000000000003
29.1,1,34.9,20.4,"48.894012169582226, 2.3643867790293243",10.0,87.30000000000001
24.1,3,28.9,16.9,"48.8376230959726, 2.331783822887114",30.0,24.1
23.4,4,28.1,16.4,"48.89555577457166, 2.384777229270242",40.0,17.549999999999997
30.6,4,36.7,21.4,"48.85438440363996, 2.340035371130514",40.0,22.95
23.1,2,27.7,16.2,"48.89555577457166, 2.384777229270242",20.0,34.65
25.8,3,31.0,18.1,"48.8376230959726, 2.331783822887114",30.0,25.8
22.3,3,26.8,15.6,"48.83429362836976, 2.296919974448867",30.0,22.3
33.5,1,40.2,23.4,"48.83906040108164, 2.2780763469189345",10.0,100.5
32.4,3,38.9,22.7,"48.85526326937375, 2.3255876525808024",30.0,32.4
25.9,4,31.08,18.13,"48.86065013520993, 2.3349103292801994",40.0,19.424999999999997
31.6,1,37.92,22.12,"48.86228910809422, 2.3448988583110166",10.0,94.80000000000001
30.2,2,36.24,21.14,"48.869306638088744, 2.3334318076581146",20.0,45.3
28.7,4,34.4,20.1,"48.86843361445447, 2.2916790427412166",40.0,21.525000000000002
28.9,4,34.68,20.23,"48.869306638088744, 2.3334318076581146",40.0,21.674999999999997
27.7,3,33.24,19.39,"48.869306638088744, 2.3334318076581146",30.0,27.7
28.0,2,33.6,19.6,"48.830359242366505, 2.428826815083849",20.0,42.0
26.0,3,31.2,18.2,"48.868008337402706, 2.3446991274274604",30.0,26.0
33.6,1,40.3,23.5,"48.871765634282355, 2.2719177404675657",10.0,100.80000000000001
32.1,1,38.52,22.47,"48.8671501183107, 2.3500801904088187",10.0,96.3
33.7,1,40.44,23.59,"48.8671501183107, 2.3500801904088187",10.0,101.10000000000001
30.6,4,36.7,21.4,"48.86065013520993, 2.3349103292801994",40.0,22.95
25.9,4,31.1,18.1,"48.83740588522813, 2.3633186351497177",40.0,19.424999999999997
30.4,2,36.5,21.3,"48.87361766097465, 2.352282894951218",20.0,45.6
30.2,2,36.24,21.14,"48.851585175021285, 2.3647679538731117",20.0,45.3
24.5,3,29.4,17.15,"48.851585175021285, 2.3647679538731117",30.0,24.5
29.5,4,35.4,20.6,"48.87814767585099, 2.3171746113048903",40.0,22.125
30.2,2,36.24,21.14,"48.851585175021285, 2.3647679538731117",20.0,45.3
33.3,1,40.0,23.3,"48.85209650697998, 2.3887648336025635",10.0,99.89999999999999
27.2,3,32.64,19.04,"48.84168428795317, 2.3438609263160095",30.0,27.2
30.1,4,36.1,21.1,"48.868008337402706, 2.3446991274274604",40.0,22.575000000000003
34.2,1,41.04,23.94,"48.84766363545046, 2.354093153377686",10.0,102.60000000000001
24.7,1,29.6,17.3,"48.88163816729657, 2.3954401666237373",10.0,74.1
34.2,1,41.04,23.94,"48.84168428795317, 2.3438609263160095",10.0,102.60000000000001
33.7,1,40.4,23.6,"48.87124465089237, 2.3615036473450113",10.0,101.10000000000001
33.7,1,40.44,23.59,"48.862557245043206, 2.354851518245669",10.0,101.10000000000001
31.1,2,37.3,21.8,"48.847800629292664, 2.3363388275876775",20.0,46.650000000000006
31.9,1,38.3,22.3,"48.87981191977869, 2.3448612910024424",10.0,95.7
25.7,2,30.84,17.99,"48.85571865089275, 2.358162333852766",20.0,38.55
28.7,4,34.4,20.1,"48.87814767585099, 2.3171746113048903",40.0,21.525000000000002
28.3,3,33.96,19.81,"48.84168428795317, 2.3438609263160095",30.0,28.3
27.1,3,32.5,19.0,"48.852895586218004, 2.3527750121216795",30.0,27.1
22.6,4,27.1,15.8,"48.86740319007272, 2.3729648249267643",40.0,16.950000000000003
28.7,2,34.44,20.09,"48.862557245043206, 2.354851518245669",20.0,43.050000000000004
30.6,4,36.7,21.4,"48.87126549302095, 2.320053028649194",40.0,22.95
32.8,1,39.36,22.96,"48.84194019337512, 2.356893889624744",10.0,98.39999999999999
27.6,2,33.1,19.3,"48.868008337402706, 2.3446991274274604",20.0,41.400000000000006
30.2,2,36.24,21.14,"48.85852137232379, 2.3516669671389687",20.0,45.3
24.1,3,28.9,16.9,"48.873934691758095, 2.343252579473346",30.0,24.1
33.6,1,40.3,23.5,"48.86843361445447, 2.2916790427412166",10.0,100.80000000000001
28.6,2,34.32,20.02,"48.847800629292664, 2.3363388275876775",20.0,42.900000000000006
31.1,2,37.3,21.8,"48.87354738020911, 2.332268868869704",20.0,46.650000000000006
24.7,1,29.6,17.3,"48.82752745777257, 2.3723977369189355",10.0,74.1
21.8,2,26.2,15.3,"48.88163816729657, 2.3954401666237373",20.0,32.7
32.0,3,38.4,22.4,"48.85526326937375, 2.3255876525808024",30.0,32.0
28.6,3,34.32,20.02,"48.85526326937375, 2.3255876525808024",30.0,28.6
24.6,2,29.5,17.2,"48.835209049865114, 2.3862100842120184",20.0,36.9
26.0,3,31.2,18.2,"48.84766363545046, 2.354093153377686",30.0,26.0
33.8,4,40.56,23.66,"48.858514966137854, 2.3164447403399206",40.0,25.349999999999998
35.3,1,42.36,24.71,"48.85035926154756, 2.3110309362657557",10.0,105.89999999999999
25.3,3,30.36,17.71,"48.88117755028415, 2.289963738115156",30.0,25.3
27.3,2,32.76,19.11,"48.86740319007272, 2.3729648249267643",20.0,40.95
31.5,1,37.8,22.05,"48.873934691758095, 2.343252579473346",10.0,94.5
24.0,1,28.8,16.8,"48.89555577457166, 2.384777229270242",10.0,72.0
24.2,4,29.04,16.94,"48.87153120058614, 2.3875492398498035",40.0,18.15
23.1,4,27.72,16.17,"48.87361766097465, 2.352282894951218",40.0,17.325
21.4,3,25.68,14.98,"48.89213818760241, 2.355536163296278",30.0,21.4
20.5,4,24.6,14.35,"48.8379956461218, 2.4331784419569793",40.0,15.374999999999998
27.0,1,32.4,18.9,"48.84691594405347, 2.374401626479208",10.0,81.0
28.5,1,34.2,19.95,"48.8379956461218, 2.4331784419569793",10.0,85.5
33.0,1,39.6,23.1,"48.868008337402706, 2.3446991274274604",10.0,99.0
27.0,2,32.4,18.9,"48.86740319007272, 2.3729648249267643",20.0,40.5
20.3,3,24.36,14.21,"48.88766108880349, 2.3744682121256666",30.0,20.3
29.4,1,35.28,20.58,"48.82752745777257, 2.3723977369189355",10.0,88.2
22.6,2,27.12,15.82,"48.89257777114592, 2.334363089913081",20.0,33.900000000000006
27.3,3,32.76,19.11,"48.87814767585099, 2.3171746113048903",30.0,27.3
24.9,2,29.88,17.43,"48.89166759106752, 2.3459787545931863",20.0,37.349999999999994
25.7,2,30.84,17.99,"48.873934691758095, 2.343252579473346",20.0,38.55
25.9,2,31.08,18.13,"48.87124465089237, 2.3615036473450113",20.0,38.849999999999994
29.0,2,34.8,20.3,"48.87361766097465, 2.352282894951218",20.0,43.5
30.3,1,36.36,21.21,"48.87993433878255, 2.3328501965554715",10.0,90.9
28.4,2,34.1,19.9,"48.85852137232379, 2.3516669671389687",20.0,42.599999999999994
24.5,3,29.4,17.15,"48.874135575605415, 2.3041188097211407",30.0,24.5
27.0,2,32.4,18.9,"48.876008290020586, 2.36812301788768",20.0,40.5
24.3,3,29.2,17.0,"48.869306638088744, 2.3334318076581146",30.0,24.3
26.3,3,31.56,18.41,"48.83740588522813, 2.3633186351497177",30.0,26.3
30.2,2,36.24,21.14,"48.85526326937375, 2.3255876525808024",20.0,45.3
28.0,3,33.6,19.6,"48.84642759400415, 2.327356878234607",30.0,28.0
26.6,1,31.9,18.6,"48.8949426537908, 2.321118743705154",10.0,79.80000000000001
27.2,1,32.64,19.04,"48.87124465089237, 2.3615036473450113",10.0,81.6
23.6,3,28.32,16.52,"48.87124465089237, 2.3615036473450113",30.0,23.6
24.5,3,29.4,17.15,"48.847800629292664, 2.3363388275876775",30.0,24.5
27.0,4,32.4,18.9,"48.85526326937375, 2.3255876525808024",40.0,20.25
27.2,2,32.64,19.04,"48.850171655497846, 2.291852642697574",20.0,40.8
28.0,1,33.6,19.6,"48.89257777114592, 2.334363089913081",10.0,84.0
27.9,2,33.48,19.53,"48.8376230959726, 2.331783822887114",20.0,41.85
29.8,4,35.8,20.9,"48.851585175021285, 2.3647679538731117",40.0,22.35
35.9,1,43.1,25.1,"48.851585175021285, 2.3647679538731117",10.0,107.69999999999999
27.6,3,33.12,19.32,"48.84271125032415, 2.3107774536393966",30.0,27.6
29.6,3,35.5,20.7,"48.85852137232379, 2.3516669671389687",30.0,29.6
24.4,4,29.28,17.08,"48.8949426537908, 2.321118743705154",40.0,18.3
24.0,4,28.8,16.8,"48.87153120058614, 2.3875492398498035",40.0,18.0
24.4,4,29.28,17.08,"48.823452771575106, 2.337070179863054",40.0,18.3
27.0,2,32.4,18.9,"48.823452771575106, 2.337070179863054",20.0,40.5
27.3,2,32.8,19.1,"48.873934691758095, 2.343252579473346",20.0,40.95
27.8,2,33.36,19.46,"48.888481513920595, 2.313856169006357",20.0,41.7
27.5,3,33.0,19.25,"48.8671501183107, 2.3500801904088187",30.0,27.5
25.1,3,30.1,17.6,"48.87126549302095, 2.320053028649194",30.0,25.1
23.4,4,28.08,16.38,"48.823452771575106, 2.337070179863054",40.0,17.549999999999997
32.9,1,39.5,23.0,"48.84766363545046, 2.354093153377686",10.0,98.7
22.9,3,27.48,16.03,"48.83373367612219, 2.3476730460658106",30.0,22.9
26.8,3,32.16,18.76,"48.8671501183107, 2.3500801904088187",30.0,26.8
31.3,1,37.56,21.91,"48.83906040108164, 2.2780763469189345",10.0,93.89999999999999
23.3,4,28.0,16.3,"48.88073523727109, 2.35747081044636",40.0,17.475
22.3,4,26.8,15.6,"48.894012169582226, 2.3643867790293243",40.0,16.725
25.3,4,30.36,17.71,"48.88117755028415, 2.289963738115156",40.0,18.975
24.3,3,29.2,17.0,"48.867074492185395, 2.3086516846814",30.0,24.3
22.4,3,26.9,15.7,"48.83031704260011, 2.315304931573413",30.0,22.4
29.8,2,35.76,20.86,"48.84271125032415, 2.3107774536393966",20.0,44.7
25.9,3,31.08,18.13,"48.83906040108164, 2.2780763469189345",30.0,25.9
29.6,1,35.5,20.7,"48.83740588522813, 2.3633186351497177",10.0,88.8
32.2,1,38.6,22.5,"48.86647028948414, 2.3570831310567835",10.0,96.60000000000001
17.1,4,20.5,12.0,"48.88766108880349, 2.3744682121256666",40.0,12.825000000000001
24.5,4,29.4,17.15,"48.83429362836976, 2.296919974448867",40.0,18.375
23.7,4,28.4,16.6,"48.89213818760241, 2.355536163296278",40.0,17.775000000000002
18.9,3,22.68,13.23,"48.82752745777257, 2.3723977369189355",30.0,18.9
21.1,3,25.3,14.8,"48.854760283035255, 2.407430328235969",30.0,21.1
29.9,1,35.88,20.93,"48.83906040108164, 2.2780763469189345",10.0,89.69999999999999
27.3,2,32.8,19.1,"48.888481513920595, 2.313856169006357",20.0,40.95
30.1,2,36.1,21.1,"48.87354738020911, 2.332268868869704",20.0,45.150000000000006
27.9,4,33.48,19.53,"48.88504369140323, 2.302909824651906",40.0,20.925
22.4,4,26.9,15.7,"48.83031704260011, 2.315304931573413",40.0,16.799999999999997
30.6,1,36.72,21.42,"48.84271125032415, 2.3107774536393966",10.0,91.8
31.1,1,37.3,21.8,"48.88504369140323, 2.302909824651906",10.0,93.30000000000001
26.4,3,31.68,18.48,"48.85209650697998, 2.3887648336025635",30.0,26.4
32.5,1,39.0,22.8,"48.88073523727109, 2.35747081044636",10.0,97.5
21.4,3,25.68,14.98,"48.835209049865114, 2.3862100842120184",30.0,21.4
25.5,3,30.6,17.9,"48.84691594405347, 2.374401626479208",30.0,25.5
23.4,2,28.1,16.4,"48.88766108880349, 2.3744682121256666",20.0,35.099999999999994
35.9,1,43.1,25.1,"48.86465997810256, 2.3363089189653063",10.0,107.69999999999999
17.1,4,20.5,12.0,"48.82752745777257, 2.3723977369189355",40.0,12.825000000000001
22.7,4,27.24,15.89,"48.854760283035255, 2.407430328235969",40.0,17.025
30.8,2,37.0,21.6,"48.868008337402706, 2.3446991274274604",20.0,46.2
22.3,3,26.76,15.61,"48.89213818760241, 2.355536163296278",30.0,22.3
24.3,4,29.2,17.0,"48.88117755028415, 2.289963738115156",40.0,18.225
23.4,4,28.08,16.38,"48.89213818760241, 2.355536163296278",40.0,17.549999999999997
20.7,3,24.8,14.5,"48.87863907572485, 2.380127281829295",30.0,20.7
23.7,2,28.44,16.59,"48.854760283035255, 2.407430328235969",20.0,35.550000000000004
27.7,2,33.2,19.4,"48.873934691758095, 2.343252579473346",20.0,41.55
20.3,3,24.36,14.21,"48.87103473909125, 2.406171530151038",30.0,20.3
26.4,4,31.7,18.5,"48.86327454383974, 2.259935831704838",40.0,19.799999999999997
31.8,1,38.16,22.26,"48.87153120058614, 2.3875492398498035",10.0,95.4
39.3,1,47.2,27.5,"48.85829990387876, 2.3015415556941874",10.0,117.89999999999999
21.4,3,25.68,14.98,"48.87153120058614, 2.3875492398498035",30.0,21.4
29.7,1,35.6,20.8,"48.87361766097465, 2.352282894951218",10.0,89.1
22.8,3,27.4,16.0,"48.83373367612219, 2.3476730460658106",30.0,22.8
16.5,4,19.8,11.55,"48.88163816729657, 2.3954401666237373",40.0,12.375
27.7,2,33.2,19.4,"48.87361766097465, 2.352282894951218",20.0,41.55
25.2,1,30.2,17.6,"48.88163816729657, 2.3954401666237373",10.0,75.6
28.6,3,34.32,20.02,"48.86327454383974, 2.259935831704838",30.0,28.6
30.1,2,36.1,21.1,"48.86465997810256, 2.3363089189653063",20.0,45.150000000000006
35.9,1,43.1,25.1,"48.867018590627694, 2.328581664931248",10.0,107.69999999999999
26.3,2,31.56,18.41,"48.87863907572485, 2.380127281829295",20.0,39.449999999999996
24.9,2,29.9,17.4,"48.84194019337512, 2.356893889624744",20.0,37.349999999999994
25.2,3,30.24,17.64,"48.87863907572485, 2.380127281829295",30.0,25.2
25.1,3,30.1,17.6,"48.87354738020911, 2.332268868869704",30.0,25.1
26.1,1,31.32,18.27,"48.87863907572485, 2.380127281829295",10.0,78.30000000000001
17.0,4,20.4,11.9,"48.88163816729657, 2.3954401666237373",40.0,12.75
20.9,3,25.08,14.63,"48.87863907572485, 2.380127281829295",30.0,20.9
31.3,1,37.56,21.91,"48.850622342726865, 2.252276907538065",10.0,93.89999999999999
28.1,2,33.7,19.7,"48.84271125032415, 2.3107774536393966",20.0,42.15
22.7,4,27.24,15.89,"48.87103473909125, 2.406171530151038",40.0,17.025
27.8,3,33.4,19.5,"48.87126549302095, 2.320053028649194",30.0,27.8
27.2,3,32.6,19.0,"48.83906040108164, 2.2780763469189345",30.0,27.2
24.9,2,29.9,17.4,"48.888481513920595, 2.313856169006357",20.0,37.349999999999994
25.2,4,30.2,17.6,"48.867018590627694, 2.328581664931248",40.0,18.9
27.8,3,33.4,19.5,"48.84271125032415, 2.3107774536393966",30.0,27.8
29.0,1,34.8,20.3,"48.854760283035255, 2.407430328235969",10.0,87.0
27.6,1,33.1,19.3,"48.83429362836976, 2.296919974448867",10.0,82.80000000000001
18.9,3,22.7,13.2,"48.894012169582226, 2.3643867790293243",30.0,18.9
26.3,1,31.6,18.4,"48.830359242366505, 2.428826815083849",10.0,78.89999999999999
19.2,4,23.0,13.4,"48.87863907572485, 2.380127281829295",40.0,14.399999999999999
32.0,1,38.4,22.4,"48.87814767585099, 2.3171746113048903",10.0,96.0
25.4,2,30.5,17.8,"48.859192412713874, 2.3632050573309638",20.0,38.1
27.8,3,33.4,19.5,"48.8671501183107, 2.3500801904088187",30.0,27.8
25.8,2,31.0,18.1,"48.83906040108164, 2.2780763469189345",20.0,38.7
21.9,3,26.3,15.3,"48.84691594405347, 2.374401626479208",30.0,21.9
34.8,1,41.8,24.4,"48.85526326937375, 2.3255876525808024",10.0,104.39999999999999
22.1,2,26.5,15.5,"48.89166759106752, 2.3459787545931863",20.0,33.15
26.4,3,31.7,18.5,"48.86843361445447, 2.2916790427412166",30.0,26.4
25.3,3,30.4,17.7,"48.873934691758095, 2.343252579473346",30.0,25.3
27.3,2,32.8,19.1,"48.88073523727109, 2.35747081044636",20.0,40.95
17.3,4,20.8,12.1,"48.894012169582226, 2.3643867790293243",40.0,12.975
24.3,4,29.16,17.01,"48.86228910809422, 2.3448988583110166",40.0,18.225
35.1,1,42.1,24.6,"48.87126549302095, 2.320053028649194",10.0,105.30000000000001
31.5,1,37.8,22.05,"48.86465997810256, 2.3363089189653063",10.0,94.5
30.2,2,36.24,21.14,"48.86465997810256, 2.3363089189653063",20.0,45.3
33.7,1,40.44,23.59,"48.868008337402706, 2.3446991274274604",10.0,101.10000000000001
24.0,4,28.8,16.8,"48.85706404083103, 2.380364061726767",40.0,18.0
25.7,2,30.84,17.99,"48.868008337402706, 2.3446991274274604",20.0,38.55
24.6,2,29.5,17.2,"48.894012169582226, 2.3643867790293243",20.0,36.9
28.3,3,33.96,19.81,"48.868008337402706, 2.3446991274274604",30.0,28.3
33.7,1,40.44,23.59,"48.859192412713874, 2.3632050573309638",10.0,101.10000000000001
31.3,1,37.6,21.9,"48.83373367612219, 2.3476730460658106",10.0,93.89999999999999
31.3,2,37.56,21.91,"48.84168428795317, 2.3438609263160095",20.0,46.949999999999996
28.7,2,34.44,20.09,"48.84766363545046, 2.354093153377686",20.0,43.050000000000004
29.8,4,35.8,20.9,"48.869306638088744, 2.3334318076581146",40.0,22.35
23.3,4,27.96,16.31,"48.84194019337512, 2.356893889624744",40.0,17.475
32.8,1,39.36,22.96,"48.84194019337512, 2.356893889624744",10.0,98.39999999999999
28.7,4,34.4,20.1,"48.867074492185395, 2.3086516846814",40.0,21.525000000000002
25.7,2,30.84,17.99,"48.862557245043206, 2.354851518245669",20.0,38.55
27.3,2,32.8,19.1,"48.87361766097465, 2.352282894951218",20.0,40.95
27.2,3,32.64,19.04,"48.8490447659431, 2.3457466001872485",30.0,27.2
30.7,3,36.84,21.49,"48.85438440363996, 2.340035371130514",30.0,30.699999999999996
26.7,2,32.0,18.7,"48.873934691758095, 2.343252579473346",20.0,40.05
22.8,3,27.4,16.0,"48.89555577457166, 2.384777229270242",30.0,22.8
25.8,3,31.0,18.1,"48.84168428795317, 2.3438609263160095",30.0,25.8
25.8,3,31.0,18.1,"48.85571865089275, 2.358162333852766",30.0,25.8
27.0,4,32.4,18.9,"48.84642759400415, 2.327356878234607",40.0,20.25
32.5,1,39.0,22.8,"48.83373367612219, 2.3476730460658106",10.0,97.5
30.2,2,36.24,21.14,"48.847800629292664, 2.3363388275876775",20.0,45.3
25.5,2,30.6,17.9,"48.8490447659431, 2.3457466001872485",20.0,38.25
26.4,1,31.7,18.5,"48.87124465089237, 2.3615036473450113",10.0,79.19999999999999
33.8,4,40.56,23.66,"48.84642759400415, 2.327356878234607",40.0,25.349999999999998
29.8,4,35.8,20.9,"48.86065013520993, 2.3349103292801994",40.0,22.35
31.3,1,37.6,21.9,"48.8949426537908, 2.321118743705154",10.0,93.89999999999999
32.5,1,39.0,22.8,"48.86228910809422, 2.3448988583110166",10.0,97.5
24.3,4,29.16,17.01,"48.87993433878255, 2.3328501965554715",40.0,18.225
25.1,3,30.1,17.6,"48.86465997810256, 2.3363089189653063",30.0,25.1
31.2,1,37.44,21.84,"48.87814767585099, 2.3171746113048903",10.0,93.60000000000001
24.5,3,29.4,17.2,"48.85571865089275, 2.358162333852766",30.0,24.5
24.5,3,29.4,17.2,"48.862557245043206, 2.354851518245669",30.0,24.5
30.2,2,36.24,21.14,"48.867074492185395, 2.3086516846814",20.0,45.3
22.4,4,26.9,15.7,"48.83373367612219, 2.3476730460658106",40.0,16.799999999999997
21.4,3,25.68,14.98,"48.8379956461218, 2.4331784419569793",30.0,21.4
27.3,1,32.8,19.1,"48.89257777114592, 2.334363089913081",10.0,81.9
24.4,4,29.3,17.1,"48.83906040108164, 2.2780763469189345",40.0,18.3
17.3,4,20.8,12.1,"48.82752745777257, 2.3723977369189355",40.0,12.975
31.5,1,37.8,22.05,"48.87993433878255, 2.3328501965554715",10.0,94.5
23.4,3,28.1,16.4,"48.830359242366505, 2.428826815083849",30.0,23.4
26.4,1,31.7,18.5,"48.85706404083103, 2.380364061726767",10.0,79.19999999999999
27.3,4,32.76,19.11,"48.87814767585099, 2.3171746113048903",40.0,20.475
25.1,4,30.1,17.6,"48.88073523727109, 2.35747081044636",40.0,18.825000000000003
26.6,4,31.92,18.62,"48.86234502354463, 2.376118055918989",40.0,19.950000000000003
25.0,4,30.0,17.5,"48.87981191977869, 2.3448612910024424",40.0,18.75
28.6,3,34.32,20.02,"48.87814767585099, 2.3171746113048903",30.0,28.6
27.5,4,33.0,19.3,"48.868008337402706, 2.3446991274274604",40.0,20.625
22.7,4,27.24,15.89,"48.873934691758095, 2.343252579473346",40.0,17.025
25.3,3,30.4,17.7,"48.89257777114592, 2.334363089913081",30.0,25.3
27.7,3,33.24,19.39,"48.874135575605415, 2.3041188097211407",30.0,27.7
25.0,2,30.0,17.5,"48.85706404083103, 2.380364061726767",20.0,37.5
27.0,2,32.4,18.9,"48.85706404083103, 2.380364061726767",20.0,40.5
33.7,1,40.4,23.6,"48.82665262554388, 2.3264369992249008",10.0,101.10000000000001
33.0,2,39.6,23.1,"48.867074492185395, 2.3086516846814",20.0,49.5
21.0,4,25.2,14.7,"48.87863907572485, 2.380127281829295",40.0,15.75
22.9,3,27.48,16.03,"48.87361766097465, 2.352282894951218",30.0,22.9
30.4,1,36.5,21.3,"48.87103473909125, 2.406171530151038",10.0,91.2
31.9,3,38.3,22.3,"48.858514966137854, 2.3164447403399206",30.0,31.9
24.2,1,29.0,16.9,"48.87103473909125, 2.406171530151038",10.0,72.6
19.7,4,23.6,13.8,"48.835209049865114, 2.3862100842120184",40.0,14.775
31.5,1,37.8,22.05,"48.88073523727109, 2.35747081044636",10.0,94.5
28.7,1,34.44,20.09,"48.8949426537908, 2.321118743705154",10.0,86.10000000000001
29.3,4,35.2,20.5,"48.87814767585099, 2.3171746113048903",40.0,21.975
27.2,2,32.64,19.04,"48.83906040108164, 2.2780763469189345",20.0,40.8
25.8,4,31.0,18.1,"48.85438440363996, 2.340035371130514",40.0,19.35
27.7,2,33.24,19.39,"48.88117755028415, 2.289963738115156",20.0,41.55
24.2,2,29.0,16.9,"48.854760283035255, 2.407430328235969",20.0,36.3
31.8,1,38.16,22.26,"48.88117755028415, 2.289963738115156",10.0,95.4
29.0,2,34.8,20.3,"48.83740588522813, 2.3633186351497177",20.0,43.5
27.0,1,32.4,18.9,"48.86371948395739, 2.395272820760115",10.0,81.0
27.0,1,32.4,18.9,"48.8949426537908, 2.321118743705154",10.0,81.0
24.2,4,29.0,16.9,"48.83373367612219, 2.3476730460658106",40.0,18.15
34.4,1,41.3,24.1,"48.83373367612219, 2.3476730460658106",10.0,103.2
22.4,3,26.9,15.7,"48.86740319007272, 2.3729648249267643",30.0,22.4
24.6,3,29.52,17.22,"48.82665262554388, 2.3264369992249008",30.0,24.6
27.9,4,33.5,19.5,"48.85526326937375, 2.3255876525808024",40.0,20.925
26.4,4,31.68,18.48,"48.850171655497846, 2.291852642697574",40.0,19.799999999999997
34.8,1,41.8,24.4,"48.8671501183107, 2.3500801904088187",10.0,104.39999999999999
24.6,3,29.52,17.22,"48.850171655497846, 2.291852642697574",30.0,24.6
28.3,2,33.96,19.81,"48.8376230959726, 2.331783822887114",20.0,42.45
28.4,1,34.1,19.9,"48.854760283035255, 2.407430328235969",10.0,85.19999999999999
29.8,4,35.8,20.9,"48.867018590627694, 2.328581664931248",40.0,22.35
27.3,2,32.8,19.1,"48.87124465089237, 2.3615036473450113",20.0,40.95
22.1,3,26.52,15.47,"48.83429362836976, 2.296919974448867",30.0,22.1
34.2,1,41.0,23.9,"48.851585175021285, 2.3647679538731117",10.0,102.60000000000001
22.5,3,27.0,15.75,"48.83031704260011, 2.315304931573413",30.0,22.5
25.9,3,31.08,18.13,"48.850171655497846, 2.291852642697574",30.0,25.9
25.1,4,30.1,17.6,"48.89213818760241, 2.355536163296278",40.0,18.825000000000003
27.5,3,33.0,19.25,"48.868008337402706, 2.3446991274274604",30.0,27.5
36.6,1,43.9,25.6,"48.84168428795317, 2.3438609263160095",10.0,109.80000000000001
25.8,4,31.0,18.1,"48.869306638088744, 2.3334318076581146",40.0,19.35
29.8,4,35.8,20.9,"48.869306638088744, 2.3334318076581146",40.0,22.35
24.1,4,28.92,16.87,"48.83031704260011, 2.315304931573413",40.0,18.075000000000003
26.4,2,31.68,18.48,"48.850171655497846, 2.291852642697574",20.0,39.599999999999994
