ref,piece,max,min,geo_point_2d,surface,price_per_m2
35.4,1,42.5,24.8,"48.859192412713874, 2.3632050573309638",10.0,106.2
33.7,3,40.4,23.6,"48.858514966137854, 2.3164447403399206",30.0,33.7
27.5,4,33.0,19.3,"48.86910019977125, 2.3394607437483312",40.0,20.625
26.4,3,31.7,18.5,"48.83373367612219, 2.3476730460658106",30.0,26.4
23.5,4,28.2,16.5,"48.87993433878255, 2.3328501965554715",40.0,17.625
27.5,4,33.0,19.3,"48.86647028948414, 2.3570831310567835",40.0,20.625
25.0,4,30.0,17.5,"48.86228910809422, 2.3448988583110166",40.0,18.75
25.2,4,30.2,17.6,"48.82312780567426, 2.352433149542824",40.0,18.9
28.3,4,34.0,19.8,"48.84642759400415, 2.327356878234607",40.0,21.225
29.5,2,35.4,20.7,"48.87981191977869, 2.3448612910024424",20.0,44.25
19.5,3,23.4,13.7,"48.88766108880349, 2.3744682121256666",30.0,19.5
28.3,4,34.0,19.8,"48.862557245043206, 2.354851518245669",40.0,21.225
36.6,1,43.9,25.6,"48.859192412713874, 2.3632050573309638",10.0,109.80000000000001
39.8,1,47.8,27.9,"48.85035926154756, 2.3110309362657557",10.0,119.39999999999999
26.4,2,31.7,18.5,"48.835209049865114, 2.3862100842120184",20.0,39.599999999999994
31.1,1,37.3,21.8,"48.850622342726865, 2.252276907538065",10.0,93.30000000000001
32.8,1,39.4,23.0,"48.888481513920595, 2.313856169006357",10.0,98.39999999999999
24.2,4,29.0,16.9,"48.873934691758095, 2.343252579473346",40.0,18.15
24.2,4,29.0,16.9,"48.87361766097465, 2.352282894951218",40.0,18.15
25.4,3,30.5,17.8,"48.84766363545046, 2.354093153377686",30.0,25.4
31.9,1,38.3,22.3,"48.87361766097465, 2.352282894951218",10.0,95.7
22.5,3,27.0,15.8,"48.830359242366505, 2.428826815083849",30.0,22.5
38.8,1,46.6,27.2,"48.87354738020911, 2.332268868869704",10.0,116.39999999999999
33.9,2,40.7,23.7,"48.85852137232379, 2.3516669671389687",20.0,50.849999999999994
33.3,2,40.0,23.3,"48.85571865089275, 2.358162333852766",20.0,49.949999999999996
27.2,2,32.6,19.0,"48.86910019977125, 2.3394607437483312",20.0,40.8
33.7,2,40.4,23.6,"48.85035926154756, 2.3110309362657557",20.0,50.550000000000004
25.3,2,30.36,17.71,"48.83373367612219, 2.3476730460658106",20.0,37.95
26.1,3,31.32,18.27,"48.86228910809422, 2.3448988583110166",30.0,26.1
29.5,4,35.4,20.65,"48.87354738020911, 2.332268868869704",40.0,22.125
27.6,2,33.12,19.32,"48.876008290020586, 2.36812301788768",20.0,41.400000000000006
23.3,4,27.96,16.31,"48.876008290020586, 2.36812301788768",40.0,17.475
22.7,3,27.24,15.89,"48.82312780567426, 2.352433149542824",30.0,22.7
28.2,3,33.84,19.74,"48.88504369140323, 2.302909824651906",30.0,28.2
27.2,1,32.64,19.04,"48.88766108880349, 2.3744682121256666",10.0,81.6
35.4,1,42.48,24.78,"48.85852137232379, 2.3516669671389687",10.0,106.2
23.4,3,28.08,16.38,"48.87993433878255, 2.3328501965554715",30.0,23.4
23.3,4,27.96,16.31,"48.85706404083103, 2.380364061726767",40.0,17.475
35.4,1,42.48,24.78,"48.87354738020911, 2.332268868869704",10.0,106.2
37.2,1,44.64,26.04,"48.86065013520993, 2.3349103292801994",10.0,111.60000000000001
25.0,4,30.0,17.5,"48.86234502354463, 2.376118055918989",40.0,18.75
27.5,3,33.0,19.25,"48.8490447659431, 2.3457466001872485",30.0,27.5
27.7,1,33.24,19.39,"48.823452771575106, 2.337070179863054",10.0,83.1
31.6,2,37.92,22.12,"48.86647028948414, 2.3570831310567835",20.0,47.400000000000006
21.4,4,25.68,14.98,"48.89257777114592, 2.334363089913081",40.0,16.049999999999997
26.8,3,32.16,18.76,"48.85571865089275, 2.358162333852766",30.0,26.8
24.0,1,28.8,16.8,"48.88163816729657, 2.3954401666237373",10.0,72.0
23.3,4,27.96,16.31,"48.87124465089237, 2.3615036473450113",40.0,17.475
26.2,3,31.44,18.34,"48.876008290020586, 2.36812301788768",30.0,26.2
24.8,3,29.76,17.36,"48.86065013520993, 2.3349103292801994",30.0,24.8
23.6,2,28.32,16.52,"48.86371948395739, 2.395272820760115",20.0,35.400000000000006
18.7,4,22.44,13.09,"48.88163816729657, 2.3954401666237373",40.0,14.024999999999999
26.7,4,32.04,18.69,"48.850622342726865, 2.252276907538065",40.0,20.025
24.1,3,28.92,16.87,"48.87863907572485, 2.380127281829295",30.0,24.1
32.1,1,38.52,22.47,"48.86843361445447, 2.2916790427412166",10.0,96.3
24.6,3,29.52,17.22,"48.82665262554388, 2.3264369992249008",30.0,24.6
28.2,4,33.84,19.74,"48.85829990387876, 2.3015415556941874",40.0,21.15
32.7,1,39.24,22.89,"48.871765634282355, 2.2719177404675657",10.0,98.10000000000001
28.7,3,34.44,20.09,"48.868008337402706, 2.3446991274274604",30.0,28.7
25.0,3,30.0,17.5,"48.867074492185395, 2.3086516846814",30.0,25.0
24.0,4,28.8,16.8,"48.83429362836976, 2.296919974448867",40.0,18.0
30.9,1,37.08,21.63,"48.84271125032415, 2.3107774536393966",10.0,92.69999999999999
23.6,3,28.32,16.52,"48.87361766097465, 2.352282894951218",30.0,23.6
29.5,4,35.4,20.65,"48.867018590627694, 2.328581664931248",40.0,22.125
23.0,3,27.6,16.1,"48.87361766097465, 2.352282894951218",30.0,23.0
31.3,1,37.56,21.91,"48.82312780567426, 2.352433149542824",10.0,93.89999999999999
32.4,4,38.88,22.68,"48.858514966137854, 2.3164447403399206",40.0,24.299999999999997
27.6,1,33.12,19.32,"48.830359242366505, 2.428826815083849",10.0,82.80000000000001
29.5,4,35.4,20.65,"48.87354738020911, 2.332268868869704",40.0,22.125
28.6,2,34.32,20.02,"48.84271125032415, 2.3107774536393966",20.0,42.900000000000006
28.5,2,34.2,19.95,"48.83740588522813, 2.3633186351497177",20.0,42.75
28.2,2,33.84,19.74,"48.87361766097465, 2.352282894951218",20.0,42.3
32.1,1,38.52,22.47,"48.84168428795317, 2.3438609263160095",10.0,96.3
28.7,3,34.44,20.09,"48.84766363545046, 2.354093153377686",30.0,28.7
25.1,4,30.1,17.6,"48.823452771575106, 2.337070179863054",40.0,18.825000000000003
33.0,2,39.6,23.1,"48.85528871996157, 2.3336568680904577",20.0,49.5
27.0,2,32.4,18.9,"48.823452771575106, 2.337070179863054",20.0,40.5
28.4,4,34.1,19.9,"48.87814767585099, 2.3171746113048903",40.0,21.299999999999997
28.1,2,33.7,19.7,"48.89213818760241, 2.355536163296278",20.0,42.15
27.3,4,32.8,19.1,"48.850171655497846, 2.291852642697574",40.0,20.475
22.6,4,27.1,15.8,"48.87124465089237, 2.3615036473450113",40.0,16.950000000000003
28.1,2,33.7,19.7,"48.8949426537908, 2.321118743705154",20.0,42.15
28.8,1,34.6,20.2,"48.83740588522813, 2.3633186351497177",10.0,86.39999999999999
