ref,piece,max,min,geo_point_2d,surface,price_per_m2,district
31.9,1,38.3,22.3,"48.89257777114592, 2.334363089913081",10.0,95.7,18
27.5,4,33.0,19.3,"48.8490447659431, 2.3457466001872485",40.0,20.625,5
32.4,3,38.9,22.7,"48.85829990387876, 2.3015415556941874",30.0,32.4,7
20.1,3,24.1,14.1,"48.88766108880349, 2.3744682121256666",30.0,20.1,19
30.9,2,37.1,21.6,"48.850622342726865, 2.252276907538065",20.0,46.349999999999994,16
33.9,1,40.7,23.7,"48.871765634282355, 2.2719177404675657",10.0,101.69999999999999,16
30.6,2,36.7,21.4,"48.87993433878255, 2.3328501965554715",20.0,45.9,9
34.9,4,41.9,24.4,"48.85035926154756, 2.3110309362657557",40.0,26.174999999999997,7
23.1,2,27.7,16.2,"48.82752745777257, 2.3723977369189355",20.0,34.65,13
33.7,1,40.4,23.6,"48.86647028948414, 2.3570831310567835",10.0,101.10000000000001,3
21.8,2,26.2,15.3,"48.87103473909125, 2.406171530151038",20.0,32.7,20
29.0,2,34.8,20.3,"48.850171655497846, 2.291852642697574",20.0,43.5,15
30.8,1,37.0,21.6,"48.83906040108164, 2.2780763469189345",10.0,92.4,15
31.5,2,37.8,22.1,"48.851585175021285, 2.3647679538731117",20.0,47.25,4
28.2,3,33.8,19.7,"48.83906040108164, 2.2780763469189345",30.0,28.2,15
27.4,2,32.9,19.2,"48.86234502354463, 2.376118055918989",20.0,41.099999999999994,11
29.9,2,35.9,20.9,"48.84271125032415, 2.3107774536393966",20.0,44.849999999999994,15
22.3,3,26.8,15.6,"48.894012169582226, 2.3643867790293243",30.0,22.3,18
27.4,4,32.9,19.2,"48.850622342726865, 2.252276907538065",40.0,20.549999999999997,16
30.2,2,36.2,21.1,"48.87361766097465, 2.352282894951218",20.0,45.3,10
22.7,3,27.2,15.9,"48.86371948395739, 2.395272820760115",30.0,22.7,20
30.4,1,36.5,21.3,"48.850622342726865, 2.252276907538065",10.0,91.2,16
28.2,3,33.8,19.7,"48.850622342726865, 2.252276907538065",30.0,28.2,16
31.6,1,37.9,22.1,"48.82665262554388, 2.3264369992249008",10.0,94.80000000000001,14
26.6,4,31.9,18.6,"48.850171655497846, 2.291852642697574",40.0,19.950000000000003,15
32.4,1,38.9,22.7,"48.88117755028415, 2.289963738115156",10.0,97.19999999999999,17
31.9,3,38.3,22.3,"48.85035926154756, 2.3110309362657557",30.0,31.9,7
26.0,4,31.2,18.2,"48.89213818760241, 2.355536163296278",40.0,19.5,18
38.0,1,45.6,26.6,"48.84642759400415, 2.327356878234607",10.0,114.0,6
37.5,1,45.0,26.3,"48.8490447659431, 2.3457466001872485",10.0,112.5,5
34.4,1,41.3,24.1,"48.88117755028415, 2.289963738115156",10.0,103.2,17
28.0,2,33.6,19.6,"48.823452771575106, 2.337070179863054",20.0,42.0,14
34.4,1,41.3,24.1,"48.84271125032415, 2.3107774536393966",10.0,103.2,15
28.6,4,34.3,20.0,"48.86647028948414, 2.3570831310567835",40.0,21.450000000000003,3
33.7,1,40.4,23.6,"48.8490447659431, 2.3457466001872485",10.0,101.10000000000001,5
26.3,4,31.6,18.4,"48.851585175021285, 2.3647679538731117",40.0,19.724999999999998,4
33.2,1,39.8,23.2,"48.86228910809422, 2.3448988583110166",10.0,99.60000000000001,1
30.5,2,36.6,21.4,"48.88117755028415, 2.289963738115156",20.0,45.75,17
35.4,1,42.5,24.8,"48.859192412713874, 2.3632050573309638",10.0,106.2,3
33.7,3,40.4,23.6,"48.858514966137854, 2.3164447403399206",30.0,33.7,7
27.5,4,33.0,19.3,"48.86910019977125, 2.3394607437483312",40.0,20.625,2
26.4,3,31.7,18.5,"48.83373367612219, 2.3476730460658106",30.0,26.4,13
23.5,4,28.2,16.5,"48.87993433878255, 2.3328501965554715",40.0,17.625,9
27.5,4,33.0,19.3,"48.86647028948414, 2.3570831310567835",40.0,20.625,3
25.0,4,30.0,17.5,"48.86228910809422, 2.3448988583110166",40.0,18.75,1
25.2,4,30.2,17.6,"48.82312780567426, 2.352433149542824",40.0,18.9,13
28.3,4,34.0,19.8,"48.84642759400415, 2.327356878234607",40.0,21.225,6
29.5,2,35.4,20.7,"48.87981191977869, 2.3448612910024424",20.0,44.25,9
19.5,3,23.4,13.7,"48.88766108880349, 2.3744682121256666",30.0,19.5,19
28.3,4,34.0,19.8,"48.862557245043206, 2.354851518245669",40.0,21.225,3
36.6,1,43.9,25.6,"48.859192412713874, 2.3632050573309638",10.0,109.80000000000001,3
39.8,1,47.8,27.9,"48.85035926154756, 2.3110309362657557",10.0,119.39999999999999,7
26.4,2,31.7,18.5,"48.835209049865114, 2.3862100842120184",20.0,39.599999999999994,12
31.1,1,37.3,21.8,"48.850622342726865, 2.252276907538065",10.0,93.30000000000001,16
32.8,1,39.4,23.0,"48.888481513920595, 2.313856169006357",10.0,98.39999999999999,17
24.2,4,29.0,16.9,"48.873934691758095, 2.343252579473346",40.0,18.15,9
24.2,4,29.0,16.9,"48.87361766097465, 2.352282894951218",40.0,18.15,10
25.4,3,30.5,17.8,"48.84766363545046, 2.354093153377686",30.0,25.4,5
31.9,1,38.3,22.3,"48.87361766097465, 2.352282894951218",10.0,95.7,10
22.5,3,27.0,15.8,"48.830359242366505, 2.428826815083849",30.0,22.5,12
38.8,1,46.6,27.2,"48.87354738020911, 2.332268868869704",10.0,116.39999999999999,9
33.9,2,40.7,23.7,"48.85852137232379, 2.3516669671389687",20.0,50.849999999999994,4
33.3,2,40.0,23.3,"48.85571865089275, 2.358162333852766",20.0,49.949999999999996,4
27.2,2,32.6,19.0,"48.86910019977125, 2.3394607437483312",20.0,40.8,2
33.7,2,40.4,23.6,"48.85035926154756, 2.3110309362657557",20.0,50.550000000000004,7
25.3,2,30.36,17.71,"48.83373367612219, 2.3476730460658106",20.0,37.95,13
26.1,3,31.32,18.27,"48.86228910809422, 2.3448988583110166",30.0,26.1,1
29.5,4,35.4,20.65,"48.87354738020911, 2.332268868869704",40.0,22.125,9
27.6,2,33.12,19.32,"48.876008290020586, 2.36812301788768",20.0,41.400000000000006,10
23.3,4,27.96,16.31,"48.876008290020586, 2.36812301788768",40.0,17.475,10
22.7,3,27.24,15.89,"48.82312780567426, 2.352433149542824",30.0,22.7,13
28.2,3,33.84,19.74,"48.88504369140323, 2.302909824651906",30.0,28.2,17
27.2,1,32.64,19.04,"48.88766108880349, 2.3744682121256666",10.0,81.6,19
35.4,1,42.48,24.78,"48.85852137232379, 2.3516669671389687",10.0,106.2,4
23.4,3,28.08,16.38,"48.87993433878255, 2.3328501965554715",30.0,23.4,9
23.3,4,27.96,16.31,"48.85706404083103, 2.380364061726767",40.0,17.475,11
35.4,1,42.48,24.78,"48.87354738020911, 2.332268868869704",10.0,106.2,9
37.2,1,44.64,26.04,"48.86065013520993, 2.3349103292801994",10.0,111.60000000000001,1
25.0,4,30.0,17.5,"48.86234502354463, 2.376118055918989",40.0,18.75,11
27.5,3,33.0,19.25,"48.8490447659431, 2.3457466001872485",30.0,27.5,5
27.7,1,33.24,19.39,"48.823452771575106, 2.337070179863054",10.0,83.1,14
31.6,2,37.92,22.12,"48.86647028948414, 2.3570831310567835",20.0,47.400000000000006,3
21.4,4,25.68,14.98,"48.89257777114592, 2.334363089913081",40.0,16.049999999999997,18
26.8,3,32.16,18.76,"48.85571865089275, 2.358162333852766",30.0,26.8,4
24.0,1,28.8,16.8,"48.88163816729657, 2.3954401666237373",10.0,72.0,19
23.3,4,27.96,16.31,"48.87124465089237, 2.3615036473450113",40.0,17.475,10
26.2,3,31.44,18.34,"48.876008290020586, 2.36812301788768",30.0,26.2,10
24.8,3,29.76,17.36,"48.86065013520993, 2.3349103292801994",30.0,24.8,1
23.6,2,28.32,16.52,"48.86371948395739, 2.395272820760115",20.0,35.400000000000006,20
18.7,4,22.44,13.09,"48.88163816729657, 2.3954401666237373",40.0,14.024999999999999,19
26.7,4,32.04,18.69,"48.850622342726865, 2.252276907538065",40.0,20.025,16
24.1,3,28.92,16.87,"48.87863907572485, 2.380127281829295",30.0,24.1,19
32.1,1,38.52,22.47,"48.86843361445447, 2.2916790427412166",10.0,96.3,16
24.6,3,29.52,17.22,"48.82665262554388, 2.3264369992249008",30.0,24.6,14
28.2,4,33.84,19.74,"48.85829990387876, 2.3015415556941874",40.0,21.15,7
32.7,1,39.24,22.89,"48.871765634282355, 2.2719177404675657",10.0,98.10000000000001,16
28.7,3,34.44,20.09,"48.868008337402706, 2.3446991274274604",30.0,28.7,2
25.0,3,30.0,17.5,"48.867074492185395, 2.3086516846814",30.0,25.0,8
24.0,4,28.8,16.8,"48.83429362836976, 2.296919974448867",40.0,18.0,15
30.9,1,37.08,21.63,"48.84271125032415, 2.3107774536393966",10.0,92.69999999999999,15
23.6,3,28.32,16.52,"48.87361766097465, 2.352282894951218",30.0,23.6,10
29.5,4,35.4,20.65,"48.867018590627694, 2.328581664931248",40.0,22.125,1
23.0,3,27.6,16.1,"48.87361766097465, 2.352282894951218",30.0,23.0,10
31.3,1,37.56,21.91,"48.82312780567426, 2.352433149542824",10.0,93.89999999999999,13
32.4,4,38.88,22.68,"48.858514966137854, 2.3164447403399206",40.0,24.299999999999997,7
27.6,1,33.12,19.32,"48.830359242366505, 2.428826815083849",10.0,82.80000000000001,12
29.5,4,35.4,20.65,"48.87354738020911, 2.332268868869704",40.0,22.125,9
28.6,2,34.32,20.02,"48.84271125032415, 2.3107774536393966",20.0,42.900000000000006,15
28.5,2,34.2,19.95,"48.83740588522813, 2.3633186351497177",20.0,42.75,13
28.2,2,33.84,19.74,"48.87361766097465, 2.352282894951218",20.0,42.3,10
32.1,1,38.52,22.47,"48.84168428795317, 2.3438609263160095",10.0,96.3,5
28.7,3,34.44,20.09,"48.84766363545046, 2.354093153377686",30.0,28.7,5
25.1,4,30.1,17.6,"48.823452771575106, 2.337070179863054",40.0,18.825000000000003,14
33.0,2,39.6,23.1,"48.85528871996157, 2.3336568680904577",20.0,49.5,6
27.0,2,32.4,18.9,"48.823452771575106, 2.337070179863054",20.0,40.5,14
28.4,4,34.1,19.9,"48.87814767585099, 2.3171746113048903",40.0,21.299999999999997,8
28.1,2,33.7,19.7,"48.89213818760241, 2.355536163296278",20.0,42.15,18
27.3,4,32.8,19.1,"48.850171655497846, 2.291852642697574",40.0,20.475,15
22.6,4,27.1,15.8,"48.87124465089237, 2.3615036473450113",40.0,16.950000000000003,10
28.1,2,33.7,19.7,"48.8949426537908, 2.321118743705154",20.0,42.15,17
28.8,1,34.6,20.2,"48.83740588522813, 2.3633186351497177",10.0,86.39999999999999,13
27.3,2,32.8,19.1,"48.84194019337512, 2.356893889624744",20.0,40.95,5
31.0,2,37.2,21.7,"48.87354738020911, 2.332268868869704",20.0,46.5,9
30.4,2,36.5,21.3,"48.87354738020911, 2.332268868869704",20.0,45.6,9
24.2,2,29.0,16.9,"48.88766108880349, 2.3744682121256666",20.0,36.3,19
26.4,3,31.7,18.5,"48.88073523727109, 2.35747081044636",30.0,26.4,10
21.5,4,25.8,15.1,"48.83031704260011, 2.315304931573413",40.0,16.125,14
25.3,3,30.4,17.7,"48.85852137232379, 2.3516669671389687",30.0,25.3,4
29.2,2,35.0,20.4,"48.83373367612219, 2.3476730460658106",20.0,43.8,13
26.0,4,31.2,18.2,"48.88504369140323, 2.302909824651906",40.0,19.5,17
26.6,3,31.9,18.6,"48.86065013520993, 2.3349103292801994",30.0,26.6,1
24.5,4,29.4,17.2,"48.83906040108164, 2.2780763469189345",40.0,18.375,15
22.9,4,27.5,16.0,"48.89555577457166, 2.384777229270242",40.0,17.175,19
24.6,4,29.52,17.22,"48.830359242366505, 2.428826815083849",40.0,18.45,12
37.6,1,45.12,26.32,"48.874135575605415, 2.3041188097211407",10.0,112.80000000000001,8
24.5,4,29.4,17.15,"48.87993433878255, 2.3328501965554715",40.0,18.375,9
23.0,4,27.6,16.1,"48.85706404083103, 2.380364061726767",40.0,17.25,11
30.8,2,36.96,21.56,"48.86327454383974, 2.259935831704838",20.0,46.2,16
22.6,4,27.12,15.82,"48.8379956461218, 2.4331784419569793",40.0,16.950000000000003,12
28.8,2,34.56,20.16,"48.82312780567426, 2.352433149542824",20.0,43.199999999999996,13
31.6,1,37.92,22.12,"48.83429362836976, 2.296919974448867",10.0,94.80000000000001,15
30.0,1,36.0,21.0,"48.88163816729657, 2.3954401666237373",10.0,90.0,19
21.8,2,26.16,15.26,"48.88163816729657, 2.3954401666237373",20.0,32.7,19
23.0,4,27.6,16.1,"48.85209650697998, 2.3887648336025635",40.0,17.25,11
26.4,2,31.68,18.48,"48.86371948395739, 2.395272820760115",20.0,39.599999999999994,20
27.2,1,32.64,19.04,"48.86371948395739, 2.395272820760115",10.0,81.6,20
26.0,3,31.2,18.2,"48.86388739200144, 2.363123300986952",30.0,26.0,3
29.0,4,34.8,20.3,"48.851585175021285, 2.3647679538731117",40.0,21.75,4
32.6,2,39.12,22.82,"48.85528871996157, 2.3336568680904577",20.0,48.900000000000006,6
26.2,3,31.44,18.34,"48.874135575605415, 2.3041188097211407",30.0,26.2,8
21.9,3,26.28,15.33,"48.8379956461218, 2.4331784419569793",30.0,21.9,12
30.4,2,36.48,21.28,"48.851585175021285, 2.3647679538731117",20.0,45.6,4
26.1,2,31.32,18.27,"48.8490447659431, 2.3457466001872485",20.0,39.150000000000006,5
25.5,2,30.6,17.85,"48.88163816729657, 2.3954401666237373",20.0,38.25,19
32.5,2,39.0,22.75,"48.85829990387876, 2.3015415556941874",20.0,48.75,7
25.7,2,30.84,17.99,"48.87993433878255, 2.3328501965554715",20.0,38.55,9
25.1,4,30.12,17.57,"48.83740588522813, 2.3633186351497177",40.0,18.825000000000003,13
33.0,1,39.6,23.1,"48.84271125032415, 2.3107774536393966",10.0,99.0,15
25.1,3,30.12,17.57,"48.8490447659431, 2.3457466001872485",30.0,25.1,5
39.3,1,47.16,27.51,"48.85526326937375, 2.3255876525808024",10.0,117.89999999999999,7
25.7,2,30.84,17.99,"48.83373367612219, 2.3476730460658106",20.0,38.55,13
30.5,1,36.6,21.35,"48.850622342726865, 2.252276907538065",10.0,91.5,16
32.9,1,39.48,23.03,"48.85852137232379, 2.3516669671389687",10.0,98.7,4
23.3,3,27.96,16.31,"48.87103473909125, 2.406171530151038",30.0,23.3,20
24.0,1,28.8,16.8,"48.894012169582226, 2.3643867790293243",10.0,72.0,18
25.8,3,30.96,18.06,"48.83906040108164, 2.2780763469189345",30.0,25.8,15
27.5,2,33.0,19.25,"48.83906040108164, 2.2780763469189345",20.0,41.25,15
18.9,3,22.68,13.23,"48.87103473909125, 2.406171530151038",30.0,18.9,20
24.3,2,29.16,17.01,"48.82312780567426, 2.352433149542824",20.0,36.45,13
29.0,4,34.8,20.3,"48.867074492185395, 2.3086516846814",40.0,21.75,8
32.4,1,38.88,22.68,"48.84271125032415, 2.3107774536393966",10.0,97.19999999999999,15
30.9,3,37.08,21.63,"48.85528871996157, 2.3336568680904577",30.0,30.900000000000002,6
26.6,4,31.92,18.62,"48.82665262554388, 2.3264369992249008",40.0,19.950000000000003,14
23.3,4,27.96,16.31,"48.823452771575106, 2.337070179863054",40.0,17.475,14
24.6,4,29.52,17.22,"48.88117755028415, 2.289963738115156",40.0,18.45,17
28.2,4,33.84,19.74,"48.85526326937375, 2.3255876525808024",40.0,21.15,7
27.2,1,32.64,19.04,"48.894012169582226, 2.3643867790293243",10.0,81.6,18
28.4,2,34.08,19.88,"48.85209650697998, 2.3887648336025635",20.0,42.599999999999994,11
37.2,1,44.64,26.04,"48.85438440363996, 2.340035371130514",10.0,111.60000000000001,6
26.0,3,31.2,18.2,"48.869306638088744, 2.3334318076581146",30.0,26.0,2
27.9,3,33.48,19.53,"48.87354738020911, 2.332268868869704",30.0,27.9,9
26.3,2,31.56,18.41,"48.859192412713874, 2.3632050573309638",20.0,39.449999999999996,3
19.7,4,23.64,13.79,"48.89166759106752, 2.3459787545931863",40.0,14.775,18
26.4,2,31.68,18.48,"48.8379956461218, 2.4331784419569793",20.0,39.599999999999994,12
24.1,3,28.92,16.87,"48.823452771575106, 2.337070179863054",30.0,24.1,14
25.0,3,30.0,17.5,"48.87354738020911, 2.332268868869704",30.0,25.0,9
26.3,4,31.56,18.41,"48.867018590627694, 2.328581664931248",40.0,19.724999999999998,1
26.2,2,31.44,18.34,"48.83429362836976, 2.296919974448867",20.0,39.300000000000004,15
26.1,4,31.32,18.27,"48.8490447659431, 2.3457466001872485",40.0,19.575000000000003,5
26.3,4,31.56,18.41,"48.851585175021285, 2.3647679538731117",40.0,19.724999999999998,4
23.9,4,28.68,16.73,"48.86371948395739, 2.395272820760115",40.0,17.924999999999997,20
26.1,4,31.32,18.27,"48.862557245043206, 2.354851518245669",40.0,19.575000000000003,3
25.4,4,30.48,17.78,"48.847800629292664, 2.3363388275876775",40.0,19.05,6
34.1,1,40.9,23.9,"48.86065013520993, 2.3349103292801994",10.0,102.30000000000001,1
27.1,3,32.5,19.0,"48.850171655497846, 2.291852642697574",30.0,27.1,15
24.2,1,29.0,16.9,"48.854760283035255, 2.407430328235969",10.0,72.6,20
31.0,1,37.2,21.7,"48.83740588522813, 2.3633186351497177",10.0,93.0,13
25.4,3,30.5,17.8,"48.862557245043206, 2.354851518245669",30.0,25.4,3
26.7,4,32.0,18.7,"48.867018590627694, 2.328581664931248",40.0,20.025,1
27.7,2,33.2,19.4,"48.830359242366505, 2.428826815083849",20.0,41.55,12
32.9,1,39.48,23.03,"48.86228910809422, 2.3448988583110166",10.0,98.7,1
28.3,2,33.96,19.81,"48.86228910809422, 2.3448988583110166",20.0,42.45,1
22.7,4,27.24,15.89,"48.86228910809422, 2.3448988583110166",40.0,17.025,1
36.0,1,43.2,25.2,"48.867018590627694, 2.328581664931248",10.0,108.0,1
25.1,4,30.12,17.57,"48.86465997810256, 2.3363089189653063",40.0,18.825000000000003,1
28.9,4,34.68,20.23,"48.867018590627694, 2.328581664931248",40.0,21.674999999999997,1
28.4,4,34.08,19.88,"48.868008337402706, 2.3446991274274604",40.0,21.299999999999997,2
26.0,4,31.2,18.2,"48.868008337402706, 2.3446991274274604",40.0,19.5,2
25.7,2,30.84,17.99,"48.8671501183107, 2.3500801904088187",20.0,38.55,2
28.9,4,34.68,20.23,"48.851585175021285, 2.3647679538731117",40.0,21.674999999999997,4
28.3,3,33.96,19.81,"48.86388739200144, 2.363123300986952",30.0,28.3,3
28.1,4,33.72,19.67,"48.84766363545046, 2.354093153377686",40.0,21.075,5
36.0,1,43.2,25.2,"48.852895586218004, 2.3527750121216795",10.0,108.0,4
33.7,1,40.44,23.59,"48.84168428795317, 2.3438609263160095",10.0,101.10000000000001,5
30.7,3,36.84,21.49,"48.85852137232379, 2.3516669671389687",30.0,30.699999999999996,4
31.3,2,37.56,21.91,"48.862557245043206, 2.354851518245669",20.0,46.949999999999996,3
28.6,3,34.32,20.02,"48.85035926154756, 2.3110309362657557",30.0,28.6,7
28.6,3,34.32,20.02,"48.84642759400415, 2.327356878234607",30.0,28.6,6
32.0,3,38.4,22.4,"48.85035926154756, 2.3110309362657557",30.0,32.0,7
29.8,3,35.76,20.86,"48.84642759400415, 2.327356878234607",30.0,29.8,6
37.0,1,44.4,25.9,"48.85438440363996, 2.340035371130514",10.0,111.0,6
33.2,2,39.84,23.24,"48.85526326937375, 2.3255876525808024",20.0,49.800000000000004,7
27.7,3,33.24,19.39,"48.847800629292664, 2.3363388275876775",30.0,27.7,6
25.9,4,31.08,18.13,"48.85528871996157, 2.3336568680904577",40.0,19.424999999999997,6
25.2,3,30.24,17.64,"48.847800629292664, 2.3363388275876775",30.0,25.2,6
31.8,1,38.16,22.26,"48.86740319007272, 2.3729648249267643",10.0,95.4,11
25.4,2,30.5,17.8,"48.862557245043206, 2.354851518245669",20.0,38.1,3
24.0,3,28.8,16.8,"48.87981191977869, 2.3448612910024424",30.0,24.0,9
27.0,2,32.4,18.9,"48.84691594405347, 2.374401626479208",20.0,40.5,12
24.3,3,29.2,17.0,"48.867018590627694, 2.328581664931248",30.0,24.3,1
28.0,1,33.6,19.6,"48.830359242366505, 2.428826815083849",10.0,84.0,12
26.0,3,31.2,18.2,"48.84691594405347, 2.374401626479208",30.0,26.0,12
28.7,1,34.44,20.09,"48.84691594405347, 2.374401626479208",10.0,86.10000000000001,12
32.0,1,38.4,22.4,"48.87814767585099, 2.3171746113048903",10.0,96.0,8
25.7,2,30.84,17.99,"48.8379956461218, 2.4331784419569793",20.0,38.55,12
25.3,2,30.36,17.71,"48.873934691758095, 2.343252579473346",20.0,37.95,9
30.3,1,36.36,21.21,"48.87361766097465, 2.352282894951218",10.0,90.9,10
28.3,2,33.96,19.81,"48.87993433878255, 2.3328501965554715",20.0,42.45,9
22.7,4,27.24,15.89,"48.87993433878255, 2.3328501965554715",40.0,17.025,9
28.6,3,34.32,20.02,"48.87814767585099, 2.3171746113048903",30.0,28.6,8
29.6,4,35.52,20.72,"48.867074492185395, 2.3086516846814",40.0,22.2,8
32.8,1,39.36,22.96,"48.83740588522813, 2.3633186351497177",10.0,98.39999999999999,13
22.5,3,27.0,15.75,"48.873934691758095, 2.343252579473346",30.0,22.5,9
29.8,3,35.76,20.86,"48.858514966137854, 2.3164447403399206",30.0,29.8,7
31.9,4,38.28,22.33,"48.858514966137854, 2.3164447403399206",40.0,23.925,7
36.0,1,43.2,25.2,"48.87126549302095, 2.320053028649194",10.0,108.0,8
24.5,3,29.4,17.15,"48.867074492185395, 2.3086516846814",30.0,24.5,8
25.0,2,30.0,17.5,"48.876008290020586, 2.36812301788768",20.0,37.5,10
30.1,2,36.12,21.07,"48.84642759400415, 2.327356878234607",20.0,45.150000000000006,6
25.0,2,30.0,17.5,"48.87124465089237, 2.3615036473450113",20.0,37.5,10
30.6,1,36.72,21.42,"48.88117755028415, 2.289963738115156",10.0,91.8,17
25.5,4,30.6,17.85,"48.850171655497846, 2.291852642697574",40.0,19.125,15
25.9,2,31.08,18.13,"48.8949426537908, 2.321118743705154",20.0,38.849999999999994,17
27.8,2,33.36,19.46,"48.83740588522813, 2.3633186351497177",20.0,41.7,13
21.7,4,26.04,15.19,"48.82312780567426, 2.352433149542824",40.0,16.275,13
31.1,1,37.32,21.77,"48.88504369140323, 2.302909824651906",10.0,93.30000000000001,17
34.6,1,41.5,24.2,"48.86910019977125, 2.3394607437483312",10.0,103.8,2
31.1,1,37.32,21.77,"48.84271125032415, 2.3107774536393966",10.0,93.30000000000001,15
26.4,4,31.68,18.48,"48.82312780567426, 2.352433149542824",40.0,19.799999999999997,13
25.7,3,30.84,17.99,"48.850171655497846, 2.291852642697574",30.0,25.7,15
31.5,1,37.8,22.05,"48.83373367612219, 2.3476730460658106",10.0,94.5,13
30.1,1,36.12,21.07,"48.85209650697998, 2.3887648336025635",10.0,90.30000000000001,11
26.0,2,31.2,18.2,"48.850171655497846, 2.291852642697574",20.0,39.0,15
27.2,1,32.64,19.04,"48.84691594405347, 2.374401626479208",10.0,81.6,12
28.0,4,33.6,19.6,"48.86910019977125, 2.3394607437483312",40.0,21.0,2
20.5,3,24.6,14.35,"48.89166759106752, 2.3459787545931863",30.0,20.5,18
18.5,4,22.2,12.95,"48.88766108880349, 2.3744682121256666",40.0,13.875,19
28.0,3,33.6,19.6,"48.86327454383974, 2.259935831704838",30.0,28.0,16
28.1,2,33.7,19.7,"48.88117755028415, 2.289963738115156",20.0,42.15,17
28.1,2,33.7,19.7,"48.83906040108164, 2.2780763469189345",20.0,42.15,15
35.1,1,42.1,24.6,"48.852895586218004, 2.3527750121216795",10.0,105.30000000000001,4
25.9,4,31.1,18.1,"48.84766363545046, 2.354093153377686",40.0,19.424999999999997,5
23.6,4,28.3,16.5,"48.8379956461218, 2.4331784419569793",40.0,17.700000000000003,12
22.8,4,27.4,16.0,"48.83740588522813, 2.3633186351497177",40.0,17.1,13
25.3,3,30.4,17.7,"48.89257777114592, 2.334363089913081",30.0,25.3,18
27.8,3,33.4,19.5,"48.874135575605415, 2.3041188097211407",30.0,27.8,8
25.8,3,31.0,18.1,"48.888481513920595, 2.313856169006357",30.0,25.8,17
25.3,2,30.4,17.7,"48.876008290020586, 2.36812301788768",20.0,37.95,10
23.7,1,28.4,16.6,"48.894012169582226, 2.3643867790293243",10.0,71.10000000000001,18
34.6,1,41.5,24.2,"48.862557245043206, 2.354851518245669",10.0,103.8,3
23.1,3,27.7,16.2,"48.823452771575106, 2.337070179863054",30.0,23.1,14
